ticker,filing_date,form,accession_number,primary_document,matched_keyword,filing_url,risk_category
PLUG,2026-05-11,10-Q,0001104659-26-058712,plug-20260331x10q.htm,convertible note,https://www.sec.gov/Archives/edgar/data/1093691/000110465926058712/plug-20260331x10q.htm,warrants_convertibles
PLUG,2026-05-11,10-Q,0001104659-26-058712,plug-20260331x10q.htm,compliance,https://www.sec.gov/Archives/edgar/data/1093691/000110465926058712/plug-20260331x10q.htm,delisting_compliance
PLUG,2026-05-11,10-Q,0001104659-26-058712,plug-20260331x10q.htm,dilution,https://www.sec.gov/Archives/edgar/data/1093691/000110465926058712/plug-20260331x10q.htm,dilution
SOUN,2026-05-11,10-Q,0001840856-26-000015,soun-20260331.htm,offering,https://www.sec.gov/Archives/edgar/data/1840856/000184085626000015/soun-20260331.htm,dilution
SOUN,2026-05-11,10-Q,0001840856-26-000015,soun-20260331.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/1840856/000184085626000015/soun-20260331.htm,dilution
SOUN,2026-05-11,10-Q,0001840856-26-000015,soun-20260331.htm,warrant,https://www.sec.gov/Archives/edgar/data/1840856/000184085626000015/soun-20260331.htm,warrants_convertibles
SOUN,2026-05-11,10-Q,0001840856-26-000015,soun-20260331.htm,convertible note,https://www.sec.gov/Archives/edgar/data/1840856/000184085626000015/soun-20260331.htm,warrants_convertibles
SOUN,2026-05-11,10-Q,0001840856-26-000015,soun-20260331.htm,going concern,https://www.sec.gov/Archives/edgar/data/1840856/000184085626000015/soun-20260331.htm,going_concern
SOUN,2026-05-11,10-Q,0001840856-26-000015,soun-20260331.htm,compliance,https://www.sec.gov/Archives/edgar/data/1840856/000184085626000015/soun-20260331.htm,delisting_compliance
VVOS,2026-05-08,424B3,0001493152-26-022022,form424b3.htm,offering,https://www.sec.gov/Archives/edgar/data/1716166/000149315226022022/form424b3.htm,dilution
VVOS,2026-05-08,424B3,0001493152-26-022022,form424b3.htm,registered direct,https://www.sec.gov/Archives/edgar/data/1716166/000149315226022022/form424b3.htm,other
VVOS,2026-05-08,424B3,0001493152-26-022022,form424b3.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/1716166/000149315226022022/form424b3.htm,dilution
VVOS,2026-05-08,424B3,0001493152-26-022022,form424b3.htm,warrant,https://www.sec.gov/Archives/edgar/data/1716166/000149315226022022/form424b3.htm,warrants_convertibles
VVOS,2026-05-08,424B3,0001493152-26-022022,form424b3.htm,going concern,https://www.sec.gov/Archives/edgar/data/1716166/000149315226022022/form424b3.htm,going_concern
VVOS,2026-05-08,424B3,0001493152-26-022022,form424b3.htm,compliance,https://www.sec.gov/Archives/edgar/data/1716166/000149315226022022/form424b3.htm,delisting_compliance
VVOS,2026-05-08,424B3,0001493152-26-022022,form424b3.htm,dilution,https://www.sec.gov/Archives/edgar/data/1716166/000149315226022022/form424b3.htm,dilution
WULF,2026-05-08,10-Q,0001083301-26-000092,wulf-20260331.htm,offering,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000092/wulf-20260331.htm,dilution
WULF,2026-05-08,10-Q,0001083301-26-000092,wulf-20260331.htm,warrant,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000092/wulf-20260331.htm,warrants_convertibles
WULF,2026-05-08,10-Q,0001083301-26-000092,wulf-20260331.htm,convertible note,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000092/wulf-20260331.htm,warrants_convertibles
WULF,2026-05-08,10-Q,0001083301-26-000092,wulf-20260331.htm,delisting,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000092/wulf-20260331.htm,delisting_compliance
WULF,2026-05-08,10-Q,0001083301-26-000092,wulf-20260331.htm,compliance,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000092/wulf-20260331.htm,delisting_compliance
WULF,2026-05-08,10-Q,0001083301-26-000092,wulf-20260331.htm,dilution,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000092/wulf-20260331.htm,dilution
BYND,2026-05-07,10-Q,0001655210-26-000037,bynd-20260328.htm,stock split,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000037/bynd-20260328.htm,reverse_split
BYND,2026-05-07,10-Q,0001655210-26-000037,bynd-20260328.htm,offering,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000037/bynd-20260328.htm,dilution
BYND,2026-05-07,10-Q,0001655210-26-000037,bynd-20260328.htm,warrant,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000037/bynd-20260328.htm,warrants_convertibles
BYND,2026-05-07,10-Q,0001655210-26-000037,bynd-20260328.htm,convertible note,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000037/bynd-20260328.htm,warrants_convertibles
BYND,2026-05-07,10-Q,0001655210-26-000037,bynd-20260328.htm,delisting,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000037/bynd-20260328.htm,delisting_compliance
BYND,2026-05-07,10-Q,0001655210-26-000037,bynd-20260328.htm,compliance,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000037/bynd-20260328.htm,delisting_compliance
BYND,2026-05-07,10-Q,0001655210-26-000037,bynd-20260328.htm,dilution,https://www.sec.gov/Archives/edgar/data/1655210/000165521026000037/bynd-20260328.htm,dilution
CXAI,2026-05-07,DEF 14A,0001829126-26-004743,cxappinc_def14a.htm,stock split,https://www.sec.gov/Archives/edgar/data/1820875/000182912626004743/cxappinc_def14a.htm,reverse_split
CXAI,2026-05-07,DEF 14A,0001829126-26-004743,cxappinc_def14a.htm,offering,https://www.sec.gov/Archives/edgar/data/1820875/000182912626004743/cxappinc_def14a.htm,dilution
CXAI,2026-05-07,DEF 14A,0001829126-26-004743,cxappinc_def14a.htm,registered direct,https://www.sec.gov/Archives/edgar/data/1820875/000182912626004743/cxappinc_def14a.htm,other
CXAI,2026-05-07,DEF 14A,0001829126-26-004743,cxappinc_def14a.htm,warrant,https://www.sec.gov/Archives/edgar/data/1820875/000182912626004743/cxappinc_def14a.htm,warrants_convertibles
CXAI,2026-05-07,DEF 14A,0001829126-26-004743,cxappinc_def14a.htm,going concern,https://www.sec.gov/Archives/edgar/data/1820875/000182912626004743/cxappinc_def14a.htm,going_concern
CXAI,2026-05-07,DEF 14A,0001829126-26-004743,cxappinc_def14a.htm,compliance,https://www.sec.gov/Archives/edgar/data/1820875/000182912626004743/cxappinc_def14a.htm,delisting_compliance
CXAI,2026-05-07,DEF 14A,0001829126-26-004743,cxappinc_def14a.htm,dilution,https://www.sec.gov/Archives/edgar/data/1820875/000182912626004743/cxappinc_def14a.htm,dilution
HIVE,2026-05-07,8-K,0001062993-26-002404,form8k.htm,offering,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002404/form8k.htm,dilution
HIVE,2026-05-07,8-K,0001062993-26-002404,form8k.htm,at-the-market,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002404/form8k.htm,dilution
HIVE,2026-05-07,8-K,0001062993-26-002404,form8k.htm,ATM offering,https://www.sec.gov/Archives/edgar/data/1720424/000106299326002404/form8k.htm,dilution
OPEN,2026-05-07,10-Q,0001801169-26-000014,open-20260331.htm,offering,https://www.sec.gov/Archives/edgar/data/1801169/000180116926000014/open-20260331.htm,dilution
OPEN,2026-05-07,10-Q,0001801169-26-000014,open-20260331.htm,warrant,https://www.sec.gov/Archives/edgar/data/1801169/000180116926000014/open-20260331.htm,warrants_convertibles
OPEN,2026-05-07,10-Q,0001801169-26-000014,open-20260331.htm,convertible note,https://www.sec.gov/Archives/edgar/data/1801169/000180116926000014/open-20260331.htm,warrants_convertibles
OPEN,2026-05-07,10-Q,0001801169-26-000014,open-20260331.htm,delisting,https://www.sec.gov/Archives/edgar/data/1801169/000180116926000014/open-20260331.htm,delisting_compliance
